idiom_en,meaning_en,literal_en,sentence_en
workhorse,"A mindless person who toils continuously at others' behest; someone who performs arduous labor in unwelcome tasks; an indifferent, unquestioning drudge",,
donkey's work,"A mindless person who toils continuously at others' behest; someone who performs arduous labor in unwelcome tasks; an indifferent, unquestioning drudge",,
fall into a trap,to fall into a trap or difficult situation,,
walk into a snare,to fall into a trap or difficult situation,,
stuck in a rut,rigid; conventional; regimented,,
nine-to-five grind,rigid; conventional; regimented,,
body,"body, physique",,
physical form,"body, physique",,
before one's time,time that arrives untimely,,
cut down in one's prime,time that arrives untimely,,
left out in the cold,not finding a place to stay,,
stranded without shelter,not finding a place to stay,,
Fickle as the weather,"A person whose mind is unsteady, who says one thing one moment and something else the next",,
Blow hot and cold,"A person whose mind is unsteady, who says one thing one moment and something else the next",,
A thorn in one's side,"Similar to getting a boil, meaning to suddenly face minor trouble or annoyance",,
To have a bad hair day,"Similar to getting a boil, meaning to suddenly face minor trouble or annoyance",,
a fairy godmother,An extremely generous and benevolent person who easily fulfills others' wishes,,
a genie who grants wishes,An extremely generous and benevolent person who easily fulfills others' wishes,,
land of make-believe,"Realm of imagination, made-up kingdom",,
fantasy world,"Realm of imagination, made-up kingdom",,
needle in a haystack,An extremely rare or impossible-to-find thing,,
Like a bee to honey,A honey-greedy bee,,
Drawn to sweetness like a moth to a flame,A honey-greedy bee,,
The chickens come home to roost,Punishment for the wicked,,
full of vim and vigor,zeal or initiative,,
has a lot of get-up-and-go,zeal or initiative,,
itching for revenge,A feeling of envy and vengefulness,,
The last straw that breaks the camel's back,Extreme distress from excessive strain or overexertion,,
Burning the candle at both ends,Extreme distress from excessive strain or overexertion,,
Groping in the dark,Guessing or assuming by touch due to lack of sight; by conjecture,,
Flying blind,Guessing or assuming by touch due to lack of sight; by conjecture,,
Haggling,Synonymous term; conflict or tug-of-war between two parties,,
Bargaining back and forth,Synonymous term; conflict or tug-of-war between two parties,,
Tug of war,Synonymous term; conflict or tug-of-war between two parties,,
Pure as gold,Pure gold; genuine person,,
The real McCoy,Pure gold; genuine person,,
24-carat gold,Pure gold; genuine person,,
against the odds,rhyming expression; with much/great hardship; somehow or by any means,,
with great difficulty,rhyming expression; with much/great hardship; somehow or by any means,,
small town,"crowded village, small town, respectable neighborhood, prosperous settlement",,
bustling suburb,"crowded village, small town, respectable neighborhood, prosperous settlement",,
I swear to God,divine oath or solemn swear,,
Cross my heart,divine oath or solemn swear,,
practice makes perfect,"practice, skill acquired through habit, technique or method",,
heartless butcher,An extremely cruel and selfish person; utterly indifferent to others' suffering and misery,,
cutthroat,An extremely cruel and selfish person; utterly indifferent to others' suffering and misery,,
cold-blooded killer,An extremely cruel and selfish person; utterly indifferent to others' suffering and misery,,
slaughterhouse,A place of extreme cruelty,,
killing fields,A place of extreme cruelty,,
Butchery (figurative),Behavior like a butcher; heartless conduct,,
Cold-blooded actions,Behavior like a butcher; heartless conduct,,
Ruthless behavior,Behavior like a butcher; heartless conduct,,
fall into the wrong hands,To fall into the clutches or under the influence of a cruel person or to come into contact with them,,
at the mercy of a tyrant,To fall into the clutches or under the influence of a cruel person or to come into contact with them,,
at fault,"crime, fault, error",,
guilty as charged,"crime, fault, error",,
Bargain hard,Synonym for wrestling; intense bargaining or negotiation to reduce price,,
push and shove,intense efforts and physical scuffles,,
never in my life,never; at any time,,
at no time,never; at any time,,
Silver-tongued,Fluent or eloquent speaker,,
speak one's mind,Someone who can speak well; someone who has the courage to speak up,,
double Dutch,gibberish; incomprehensible words or language,,
whining like a child,"piteous, whining entreaty or supplication",,
black hole,"A narrow, pitch-dark chamber or cell",,
dungeon of despair,"A narrow, pitch-dark chamber or cell",,
Digging one's own grave,Inviting one's own death,,
Inviting trouble upon oneself,Inviting one's own death,,
pain in the neck,"a boil in the armpit; figuratively, a personal or hidden annoyance",,
raw deal,"nothing worthwhile, a trick, or something worthless",,
short end of the stick,"nothing worthwhile, a trick, or something worthless",,
lemon,"nothing worthwhile, a trick, or something worthless",,
His threats are like water off a duck's back,Ridicule or sarcasm directed at a person incapable of causing harm,,
It is what it is,Things remain as they are; everyone stays in their inherent state,,
No way out,A situation from which there is no escape,,
greens,fresh vegetables or raw produce,,
fresh produce,fresh vegetables or raw produce,,
rolling in dough,abundant ready cash or earnings,,
flush with cash,abundant ready cash or earnings,,
easy money,Money acquired without effort,,
unearned income,Money acquired without effort,,
pin money,unaccounted or petty cash,,
Casting pearls before swine,Imparting wisdom to a fool,,
Preaching to the deaf,Imparting wisdom to a fool,,
trial balloon,Changeable preliminary discussions or talks,,
preliminary negotiations,Changeable preliminary discussions or talks,,
off-the-cuff remarks,Changeable preliminary discussions or talks,,
amateurish work,Clumsy or unskilled handiwork,,
botched job,Clumsy or unskilled handiwork,,
fool's errand,"Rash or ill-considered action, foolishness",,
half-baked plan,"Rash or ill-considered action, foolishness",,
Trying to fit a square peg in a round hole,Attempting to make the impossible possible; trying to do something that cannot be done,,
rough draft,Changeable; preliminary; draft,,
work in progress,Changeable; preliminary; draft,,
beta version,Changeable; preliminary; draft,,
Greasy politician,Bribe-taker or corrupt person,,
foul-mouthed rant,obscene or vulgar abuses,,
dirty talk,obscene or vulgar abuses,,
smut,"Writings, songs, etc., composed in obscene language",,
blue humor,"Writings, songs, etc., composed in obscene language",,
Thankless task,Doing an unpleasant or disagreeable task,,
Dirty work,Doing an unpleasant or disagreeable task,,
humble abode,"A house made of mud, bamboo, and similar raw materials",,
mud hut,"A house made of mud, bamboo, and similar raw materials",,
thatched cottage,"A house made of mud, bamboo, and similar raw materials",,
half-asleep,Incomplete sleep; a state where the drowsiness or sleep haze has not yet cleared,,
groggy,Incomplete sleep; a state where the drowsiness or sleep haze has not yet cleared,,
in a daze,Incomplete sleep; a state where the drowsiness or sleep haze has not yet cleared,,
Cold hard cash,Abundant ready cash or earnings,,
Black money,Unaccounted or black money,,
Under-the-table cash,Unaccounted or black money,,
salt and pepper (hair),"half raw, half ripe (often referring to hair that is partially grey)",,
In one's salad days,"Immature or young age, youthful in years",,
Green youth,"Immature or young age, youthful in years",,
Wet market,"Market for vegetables, fish, and meat",,
Fresh produce market,"Market for vegetables, fish, and meat",,
Old before one's time,The body becoming worn out or aged prematurely due to excessive worry in young age,,
